team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
Delaware State,Hornets,ffa04cde-aa2d-4e91-b2cd-bde2bfed44de,29,5800.0,648,1827,1084,427,5800.0,0.394,221,743,0.297,16,311,456,0.682,281,642,923,308,412,0.75,200,62,564,3,1828,154,0,373,312,0,3,627,1585,2027.64,0.451,5.31,12.86,10.76,200.0,63.0,9.69,22.14,31.83,10.6,6.9,2.14,14.21,19.45,0.0,0.55,22.34,63.0,7.62,25.62,10.72,15.72,14.72,37.38,21.62,54.66,69.92
Georgia Tech,Yellow Jackets,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,31,6225.0,724,1654,1101,555,6225.0,0.504,169,553,0.306,103,403,581,0.694,206,732,938,417,453,0.92,217,161,543,6,2020,354,5,396,255,0,13,990,2192,1909.64,0.529,11.42,12.77,8.23,200.8,65.2,6.65,23.61,30.26,13.5,7.0,5.19,14.61,17.52,0.16,3.32,23.35,53.35,5.45,17.84,13.0,18.74,17.9,35.52,31.94,70.71,61.6
Pittsburgh,Panthers,24051034-96bb-4f78-a3a6-312f3258780f,31,6250.0,725,1731,1088,515,6250.0,0.473,210,643,0.327,165,507,731,0.694,295,727,1022,370,423,0.87,213,117,568,10,2167,420,2,558,315,0,13,949,2236,2052.64,0.528,13.55,18.0,10.16,201.6,69.9,9.52,23.45,32.97,11.9,6.87,3.77,13.65,18.32,0.06,5.32,23.39,55.84,6.77,20.74,16.35,23.58,16.61,35.1,30.61,72.13,66.21
Virginia Tech,Hokies,324ccccc-575b-4b82-acb0-fbb8e68da13b,30,6025.0,771,1620,887,479,6025.0,0.54,292,733,0.398,90,400,525,0.762,228,658,886,463,345,1.34,202,68,462,6,2234,307,5,499,286,0,11,848,2534,1851.0,0.603,10.23,16.63,9.53,200.8,74.5,7.6,21.93,29.53,15.4,6.73,2.27,11.5,15.4,0.17,3.0,25.7,54.0,9.73,24.43,13.33,17.5,15.97,29.57,28.27,84.47,61.7
Boston College,Eagles,4b3ff02c-e0ba-435b-a565-6075bc491684,30,6100.0,747,1749,1087,535,6100.0,0.492,212,662,0.32,89,420,604,0.695,269,750,1019,370,368,1.01,155,99,490,2,2126,305,2,380,301,0,12,806,2215,2014.76,0.528,10.17,12.67,10.03,203.3,70.9,8.97,25.0,33.97,12.3,5.17,3.3,12.27,16.33,0.07,2.97,24.9,58.3,7.07,22.07,14.0,20.13,17.83,36.23,26.87,73.83,67.16
Wake Forest,Demon Deacons,4fbebf0a-e117-4a0c-8f15-c247535a2a1b,30,6050.0,687,1755,1131,497,6050.0,0.439,190,624,0.304,134,484,665,0.728,328,695,1023,320,402,0.8,146,75,537,3,2048,377,4,353,376,0,14,768,1961,2047.6,0.5,12.57,11.77,12.53,201.7,68.3,10.93,23.17,34.1,10.7,4.87,2.5,13.4,17.9,0.13,4.47,22.9,58.5,6.33,20.8,16.13,22.17,16.57,37.7,25.6,65.37,68.25
North Carolina State,Wolfpack,52df1e19-b142-4a76-a439-ad68455d0581,31,6250.0,922,2002,1282,662,6250.0,0.516,260,720,0.361,127,408,572,0.713,354,731,1085,485,402,1.21,236,118,611,3,2512,406,3,535,416,1,10,1084,2790,2253.68,0.557,13.1,17.26,13.42,201.6,81.0,11.42,23.58,35.0,15.6,7.61,3.81,12.97,19.71,0.1,4.1,29.74,64.58,8.39,23.23,13.16,18.45,21.35,41.35,34.97,90.0,72.7
Virginia,Cavaliers,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,30,6025.0,773,1614,996,517,6025.0,0.519,256,618,0.414,82,362,485,0.746,233,750,983,438,272,1.61,169,119,433,2,2164,144,1,386,324,0,3,844,2637,1827.4,0.592,4.8,12.87,10.8,200.8,72.1,7.77,25.0,32.77,14.6,5.63,3.97,9.07,14.43,0.03,2.73,25.77,53.8,8.53,20.6,12.07,16.17,17.23,33.2,28.13,87.9,60.91
Miami (FL),Hurricanes,7aec5187-cb1b-45e5-8f7d-406d766cdc73,30,6025.0,759,1741,981,506,6025.0,0.516,253,760,0.333,86,391,531,0.736,239,677,916,391,352,1.11,202,97,438,3,2162,221,1,419,295,0,5,870,2294,1974.64,0.547,7.37,13.97,9.83,200.8,72.1,7.97,22.57,30.53,13.0,6.73,3.23,11.73,14.6,0.03,2.87,25.3,58.03,8.43,25.33,13.03,17.7,16.87,32.7,29.0,76.47,65.82
Notre Dame,Fighting Irish,80962f09-8821-48b6-8cf0-0cf0eea56aa8,31,6200.0,731,1849,1027,470,6200.0,0.458,261,822,0.318,83,412,553,0.745,296,762,1058,401,295,1.36,173,142,433,4,2135,261,2,390,346,0,3,784,2355,2092.32,0.51,8.42,12.58,11.16,200.0,68.9,9.55,24.58,34.13,12.9,5.58,4.58,9.52,13.97,0.06,2.68,23.58,59.65,8.42,26.52,13.29,17.84,15.16,33.13,25.29,75.97,67.49
