team_market,team_name,team_id,conference_name,conference_id
Iowa,Hawkeyes,c10544de-e3bd-4776-ba2e-83df8c017fd1,Big Ten,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52
Indiana,Hoosiers,c3f0a8ce-af67-497f-a750-3b859376b20a,Big Ten,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52
Wisconsin,Badgers,c7569eae-5b93-4197-b204-6f3a62146b25,Big Ten,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52
Nebraska,Cornhuskers,f8b1bf00-5b73-4ac4-98c0-ec554027ae32,Big Ten,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52
Minnesota,Golden Gophers,fa416692-7e09-4f0a-9bcf-0cf7d5149a14,Big Ten,a30fe8ff-82d2-4521-bc8d-e08e6a9dbb52
Maine,Black Bears,0095032d-6143-44f2-8974-f6815fc56c5b,America East,b11c69c8-e2cc-4a36-bd3b-80cdf91fef57
Vermont,Catamounts,18e89867-9201-41ce-ba19-fadddf92fa17,America East,b11c69c8-e2cc-4a36-bd3b-80cdf91fef57
Stony Brook,Seawolves,23426c0b-1705-4dfb-a0e2-efdbdd8fd6f6,America East,b11c69c8-e2cc-4a36-bd3b-80cdf91fef57
Albany,Great Danes,290a5130-836d-45e6-824f-28704d6ba246,America East,b11c69c8-e2cc-4a36-bd3b-80cdf91fef57
UMBC,Retrievers,32755362-6336-4dd3-ac34-6f72a6cc150b,America East,b11c69c8-e2cc-4a36-bd3b-80cdf91fef57
Massachusetts-Lowell,River Hawks,4927ef8b-e680-4fb8-b10e-2ea3eff32eab,America East,b11c69c8-e2cc-4a36-bd3b-80cdf91fef57
New Hampshire,Wildcats,93cb009e-5bbf-4081-b2c9-44028fe28096,America East,b11c69c8-e2cc-4a36-bd3b-80cdf91fef57
Hartford,Hawks,dba620d9-7282-4638-bf05-13caf48eeed1,America East,b11c69c8-e2cc-4a36-bd3b-80cdf91fef57
Binghamton,Bearcats,fa0f8282-c4f1-490e-962c-f25350cd76f4,America East,b11c69c8-e2cc-4a36-bd3b-80cdf91fef57
Sacred Heart,Pioneers,3556d445-b3f1-467e-b150-952b32dfb150,Northeast,b71a249a-9cb8-4bfd-8971-e7ca7bed6700
Wagner,Seahawks,3b644902-cd06-4930-9a3e-6c78cfb1f464,Northeast,b71a249a-9cb8-4bfd-8971-e7ca7bed6700
Mount St. Mary's,Mountaineers,5fe4a398-1699-4442-a364-305b2f0ac01e,Northeast,b71a249a-9cb8-4bfd-8971-e7ca7bed6700
Bryant University,Bulldogs,61dadefa-76bf-4db4-8067-f88df540b9cd,Northeast,b71a249a-9cb8-4bfd-8971-e7ca7bed6700
St. Francis (PA),Red Flash,6637ac5f-59c2-4888-af34-a86d138ccfb3,Northeast,b71a249a-9cb8-4bfd-8971-e7ca7bed6700
Robert Morris,Colonials,6906e22d-92fa-40cb-8c05-ec8391ac1979,Northeast,b71a249a-9cb8-4bfd-8971-e7ca7bed6700
LIU Brooklyn,Blackbirds,82c12e8d-7c6c-47d8-b100-3cbc190d268e,Northeast,b71a249a-9cb8-4bfd-8971-e7ca7bed6700
Central Connecticut State,Blue Devils,a93bf4f2-3724-4539-8c8a-9ac8ee3741a6,Northeast,b71a249a-9cb8-4bfd-8971-e7ca7bed6700
Fairleigh Dickinson,Knights,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,Northeast,b71a249a-9cb8-4bfd-8971-e7ca7bed6700
St. Francis (BKN),Terriers,e19cfc47-f23f-4c64-ba29-2e6d12dc45b2,Northeast,b71a249a-9cb8-4bfd-8971-e7ca7bed6700
Brown,Bears,558abf02-97f4-4323-aa99-63c076d35932,Ivy,c2d16439-b791-4f9b-84d9-80cf457a0676
Harvard,Crimson,5c7bf63f-bc39-43c5-9907-73b50b7a6b34,Ivy,c2d16439-b791-4f9b-84d9-80cf457a0676
Cornell,Big Red,88ff8c00-958e-4ccf-a21d-77fab9e93692,Ivy,c2d16439-b791-4f9b-84d9-80cf457a0676
Yale,Bulldogs,ca478771-aa3d-4231-81e0-b70f519134fb,Ivy,c2d16439-b791-4f9b-84d9-80cf457a0676
Columbia,Lions,ca74bd67-034c-4468-8487-6f983f5eb4f6,Ivy,c2d16439-b791-4f9b-84d9-80cf457a0676
Dartmouth,Big Green,d60357bd-1205-42e9-9092-d986a2843a34,Ivy,c2d16439-b791-4f9b-84d9-80cf457a0676
Pennsylvania,Quakers,e6c94452-1adf-4fb9-90e5-10f165c57c5a,Ivy,c2d16439-b791-4f9b-84d9-80cf457a0676
Princeton,Tigers,fe406882-9f22-495e-9df6-ef357a6803c6,Ivy,c2d16439-b791-4f9b-84d9-80cf457a0676
