year,Seed,Team Name,TEAM ID
2018,E1,Duke Blue Devils,faeb1160-5d15-4f26-99fc-c441cf21fc7f
2018,E10,Minnesota Golden Gophers,fa416692-7e09-4f0a-9bcf-0cf7d5149a14
2018,E11,Belmont Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c
2018,E12,Liberty Flames,559db90c-741f-40d1-aa81-3fdd1d4889f3
2018,E13,Saint Louis Billikens,1e42cce3-236b-4f3e-9650-2c45e6332e1e
2018,E14,Yale Bulldogs,ca478771-aa3d-4231-81e0-b70f519134fb
2018,E15,Bradley Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb
2018,E16,North Carolina Central Eagles,e4c315a0-e83f-4d14-856e-34a0463059e3
2018,E2,Michigan State Spartans,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
2018,E3,LSU Tigers,70e2bedd-3a0a-479c-ac99-e3f58aa6824b
2018,E4,Virginia Tech Hokies,324ccccc-575b-4b82-acb0-fbb8e68da13b
2018,E5,Mississippi State Bulldogs,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae
2018,E6,Maryland Terrapins,2778d005-cc14-4e58-9bf2-3fc37bffb62f
2018,E7,Louisville Cardinals,b795ddbc-baab-4499-8803-52e8608520ab
2018,E8,Virginia Commonwealth Rams,c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518
2018,E9,UCF Knights,054c3e85-0552-4549-b123-7e84af6e7b6c
2018,M1,North Carolina Tar Heels,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
2018,M10,Seton Hall Pirates,aef5e386-d8e8-460c-8014-3a2f090fd988
2018,M11,Ohio State Buckeyes,857462b3-0ab6-4d26-9669-10ca354e382b
2018,M12,New Mexico State Aggies,5016fe1a-9571-4d10-bf5b-b9c1b496bd57
2018,M13,Northeastern Huskies,93df9b18-e9fc-42a7-bb45-a736c203b4dc
2018,M14,Georgia State Panthers,94ea835b-8ce9-4de2-a5b1-971548fea974
2018,M15,Abilene Christian Wildcats,a52b2ece-1f87-45b5-ae1e-8d0920479965
2018,M16,Iona Gaels,255c2a87-40c0-4989-bbb9-d286aac5d28e
2018,M2,Kentucky Wildcats,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
2018,M3,Houston Cougars,1f99a164-d593-4d81-85d5-0d7889d6f486
2018,M4,Kansas Jayhawks,fae4855b-1b64-4b40-a632-9ed345e1e952
2018,M5,Auburn Tigers,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2
2018,M6,Iowa State Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c
2018,M7,Wofford Terriers,9916713f-b243-452b-93ae-a2c3ccabf68b
2018,M8,Utah State Aggies,7672ff16-8436-47e6-8546-0fb5494ec7ee
2018,M9,Washington Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44
2018,S1,Virginia Cavaliers,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
2018,S10,Iowa Hawkeyes,c10544de-e3bd-4776-ba2e-83df8c017fd1
2018,S11,Saint Mary's Gaels,b18f34af-a7f1-4659-a2e5-fc11a31cd316
2018,S12,Oregon Ducks,1da70895-f77f-44ef-b216-d63c02e696eb
