team_id,team_name,rank,total_wins,total_losses,adj_win_perc,str_of_sched,rpi
4383eb6a-7fd8-4ff2-94c5-43c933121e88,Wildcats,1,36,4,0.9158,0.5906,0.6719
56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Cavaliers,2,31,3,0.9051,0.5776,0.6595
fae4855b-1b64-4b40-a632-9ed345e1e952,Jayhawks,3,31,8,0.7705,0.6108,0.6507
faeb1160-5d15-4f26-99fc-c441cf21fc7f,Blue Devils,4,29,8,0.7987,0.5921,0.6438
0d8a328f-20ce-410b-bed1-15fc01308aaf,Musketeers,5,29,6,0.8217,0.5723,0.6346
b827dbdf-230f-4916-9703-3bb9004e26eb,Volunteers,6,26,9,0.7453,0.5868,0.6264
bdc2561d-f603-4fab-a262-f1d2af462277,Wolverines,7,32,8,0.8161,0.5602,0.6242
e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,Tar Heels,8,26,11,0.7018,0.5978,0.6238
62a73b4a-e281-4483-a1f8-f1160a18e456,Wolf Pack,9,29,8,0.7943,0.5641,0.6216
a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,Bearcats,10,31,5,0.8614,0.5415,0.6215
2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Wildcats,11,26,11,0.6928,0.5966,0.6207
dcf5c2e7-c227-4c20-af26-715d5f859412,Tigers,12,25,10,0.7203,0.5867,0.6201
12d7f888-675b-459f-9099-a38f771d8a95,Boilermakers,13,30,7,0.8024,0.559,0.6199
0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,Tigers,14,26,8,0.7703,0.567,0.6178
61a3908a-7492-4b6f-809e-12c61976bb0a,Ramblers,15,31,6,0.8596,0.5352,0.6163
a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Spartans,16,30,5,0.8428,0.5367,0.6132
a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,Bulls,17,26,9,0.7643,0.5591,0.6104
7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4,Rams,18,26,8,0.7703,0.5552,0.609
2f4d21f8-6d5f-48a5-abca-52a30583871a,Bulldogs,19,32,5,0.8571,0.5235,0.6069
9b166a3f-e64b-4825-bb6b-92c6f0418263,Wildcats,20,27,8,0.7707,0.5515,0.6063
857462b3-0ab6-4d26-9669-10ca354e382b,Buckeyes,21,25,9,0.7,0.5748,0.6061
ef184799-d79b-49d9-a662-991eaf4044cd,Aggies,22,22,13,0.6174,0.5952,0.6007
f8c705b7-87d3-411a-9c8b-5124daab0469,Red Raiders,23,27,10,0.7315,0.5552,0.5993
1f99a164-d593-4d81-85d5-0d7889d6f486,Cougars,24,27,8,0.7931,0.5285,0.5946
f38b58de-3273-4723-a78b-2f918e9aa2d5,Shockers,25,25,8,0.7358,0.5473,0.5944
8cd24de1-2be8-4b77-bcfa-47be0495a5f4,Orange,26,23,14,0.5828,0.5956,0.5924
22d90601-19d4-461b-a901-924d12f116ed,Bonnies,27,26,8,0.7821,0.5287,0.592
7aec5187-cb1b-45e5-8f7d-406d766cdc73,Hurricanes,28,22,10,0.6842,0.5608,0.5917
5016fe1a-9571-4d10-bf5b-b9c1b496bd57,Aggies,29,25,6,0.8207,0.513,0.5899
f770d3a2-221c-49ce-9c7a-680f7417fe9e,Mountaineers,30,26,11,0.6871,0.555,0.588
3d2f0819-8f3b-4ff3-afd6-6227c469a751,Blue Raiders,31,24,8,0.7531,0.5324,0.5876
f7fcbb6e-4a55-41ea-ba21-f763ed914467,Horned Frogs,32,21,12,0.609,0.5765,0.5847
aef5e386-d8e8-460c-8014-3a2f090fd988,Pirates,33,22,12,0.6301,0.5657,0.5818
912f8837-1d81-4ef9-a576-a21f271d4c64,Gators,34,21,13,0.5759,0.5818,0.5804
c70c23c4-ab09-4797-a1af-792c848ab17f,Razorbacks,35,23,12,0.6454,0.5571,0.5792
b18f34af-a7f1-4659-a2e5-fc11a31cd316,Gaels,35,30,6,0.8072,0.5033,0.5792
6ef40534-5fad-4755-84de-7dcbd645d1f0,Jackrabbits,37,24,7,0.8085,0.5025,0.579
93df9b18-e9fc-42a7-bb45-a736c203b4dc,Huskies,38,22,10,0.7067,0.5359,0.5786
d3c8a767-b6fc-45d4-a5f2-18406f2993f1,Seminoles,39,23,12,0.6599,0.5508,0.5781
3a000455-de7c-4ca8-880e-abdce7f21da9,Trojans,40,24,12,0.6386,0.5573,0.5776
18e89867-9201-41ce-ba19-fadddf92fa17,Catamounts,41,26,8,0.7952,0.5016,0.575
881380da-861c-4ab6-a7d2-20699d8ea883,Hilltoppers,42,26,11,0.7052,0.5295,0.5734
e52c9644-717a-46f4-bf16-aeca000b3b44,Huskies,43,21,13,0.5764,0.5721,0.5732
ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Bruins,44,21,12,0.6241,0.5559,0.5729
0d037a5d-827a-44dd-8b70-57603d671d5d,Utes,45,23,12,0.6471,0.5467,0.5718
c2104cdc-c83d-40d2-a3cd-df986e29f5d3,Crimson Tide,46,20,16,0.5195,0.5865,0.5698
b795ddbc-baab-4499-8803-52e8608520ab,Cardinals,47,22,14,0.5584,0.5733,0.5696
a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae,Bulldogs,48,24,12,0.6571,0.5391,0.5686
77ca152a-cb2f-48a5-97b2-492351250d94,Tigers,49,19,13,0.5786,0.5635,0.5673
