team_id,team_name,rank,total_wins,total_losses,adj_win_perc,str_of_sched,rpi
aed211c3-23a4-4188-ad70-22c6eba7d765,Bulldogs,59,22,9,0.7234,0.5081,0.5619
c10544de-e3bd-4776-ba2e-83df8c017fd1,Hawkeyes,60,21,10,0.6489,0.5316,0.5609
db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Bears,61,19,12,0.5766,0.555,0.5604
6ed15092-2670-450a-99c2-61d861e87644,Longhorns,62,16,15,0.458,0.5938,0.5599
1da70895-f77f-44ef-b216-d63c02e696eb,Ducks,63,19,12,0.594,0.5485,0.5598
94ea835b-8ce9-4de2-a5b1-971548fea974,Panthers,64,21,9,0.7422,0.4988,0.5596
f38b58de-3273-4723-a78b-2f918e9aa2d5,Shockers,65,17,13,0.5462,0.5638,0.5594
a2b8223d-40b3-4076-b5df-55655c2f8591,Bisons,66,23,7,0.774,0.4867,0.5585
ca5318f2-48eb-4f6b-896a-966b900aa42f,Paladins,67,22,7,0.7832,0.4832,0.5582
c31455b2-8a45-4248-aa8f-ce7eab1c6b02,Cougars,68,19,13,0.5896,0.5473,0.5579
3da4798c-2d58-4dac-b66e-ad145a91b544,Golden Flashes,69,20,9,0.7023,0.5069,0.5557
e3848467-66c0-41e5-8283-02e3586d8601,Grizzlies,70,21,8,0.7518,0.4902,0.5556
c1f4aae1-aa16-4095-aeab-10e5c2a1236a,Red Storm,71,20,11,0.626,0.5302,0.5541
632616c5-2dbb-4017-a449-c9dfc303f026,Flyers,72,21,10,0.6414,0.5237,0.5531
912f8837-1d81-4ef9-a576-a21f271d4c64,Gators,73,17,14,0.5238,0.5625,0.5528
6b955b96-b736-475e-bffd-e4acf2054169,Eagles,73,18,11,0.6423,0.5229,0.5528
d750d88f-f7b8-4bc3-a5f6-36e7a67ec93e,Buccaneers,75,22,9,0.7376,0.4896,0.5516
620d5944-7156-47d3-aad5-5b3824557d03,Toreros,76,20,14,0.5867,0.5394,0.5512
8548dacb-3636-48a8-8c46-611ab0c15fc0,Cougars,77,23,9,0.7329,0.4905,0.5511
559db90c-741f-40d1-aa81-3fdd1d4889f3,Flames,78,25,6,0.8231,0.4596,0.5505
857462b3-0ab6-4d26-9669-10ca354e382b,Buckeyes,79,18,13,0.5401,0.5537,0.5503
4aebd148-8119-4875-954c-66779867989b,Nittany Lions,80,14,17,0.4317,0.5888,0.5495
c70c23c4-ab09-4797-a1af-792c848ab17f,Razorbacks,81,17,14,0.5036,0.5638,0.5488
98d2123a-c7b9-4b5f-8a81-43f76d8537dc,Bison,82,21,11,0.669,0.5081,0.5483
ce967953-5c50-4220-87b2-99acb9606e84,Monarchs,83,23,8,0.741,0.481,0.546
ab9a1315-293f-42d3-a164-860216e81576,Norse,84,24,8,0.7879,0.4631,0.5443
ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Bruins,84,16,15,0.458,0.5731,0.5443
1c7ec608-3b36-4cee-adac-9265e3792597,Gamecocks,86,15,15,0.4701,0.5686,0.544
9fccbf28-2858-4263-821c-fdefb3c7efa3,Buffaloes,87,19,11,0.6475,0.5093,0.5438
bdb7d7a4-45f8-4bf3-ab85-15488c451494,Bulldogs,88,16,15,0.48,0.5641,0.5431
80a19b57-d6ab-4bee-934f-33a72c2e958a,Raiders,89,22,10,0.75,0.4736,0.5427
58d8baa3-7624-4b21-a47f-a23df2bf8859,Thundering Herd,90,18,13,0.6047,0.5209,0.5418
e6c94452-1adf-4fb9-90e5-10f165c57c5a,Quakers,91,18,11,0.6345,0.5101,0.5412
c3f0a8ce-af67-497f-a750-3b859376b20a,Hoosiers,92,17,14,0.5118,0.5499,0.5403
23426c0b-1705-4dfb-a0e2-efdbdd8fd6f6,Seawolves,92,23,8,0.7455,0.472,0.5403
a9e4d292-d074-40e7-a81a-f9342929b979,Falcons,94,18,11,0.6496,0.5029,0.5396
d24efd99-8717-43b9-a086-9986a684ac04,Dons,95,20,10,0.6567,0.4995,0.5388
2959bd24-7007-41ae-a3a3-abdf26888cfc,Golden Hurricane,96,18,13,0.5528,0.5337,0.5385
0d8a328f-20ce-410b-bed1-15fc01308aaf,Musketeers,97,17,14,0.5111,0.5456,0.537
7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc,Friars,97,17,14,0.5105,0.5459,0.537
8736b67f-5924-400b-bf94-3bd804c36600,Hoyas,99,19,12,0.5766,0.5232,0.5366
f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b,Highlanders,100,19,11,0.6736,0.4903,0.5361
508f503f-dc57-4f4c-a01e-4f195e5c05c8,Mountain Hawks,101,20,11,0.6809,0.4867,0.5352
881380da-861c-4ab6-a7d2-20699d8ea883,Hilltoppers,101,18,13,0.5899,0.517,0.5352
8ff733a9-9f93-46de-ba7e-cf6f7e429670,Bulldogs,103,17,12,0.6147,0.508,0.5346
6120ac5d-e0f2-4b28-9e6f-ee71596a7e88,Golden Eagles,104,16,10,0.661,0.4922,0.5344
dd8db4d8-d984-4cab-b7f6-22c6b8c2c45f,Bulldogs,104,21,8,0.6934,0.4813,0.5344
9b166a3f-e64b-4825-bb6b-92c6f0418263,Wildcats,106,17,14,0.5111,0.5418,0.5341
ef184799-d79b-49d9-a662-991eaf4044cd,Aggies,107,13,17,0.3873,0.5829,0.534
52df1e19-b142-4a76-a439-ad68455d0581,Wolfpack,108,21,10,0.6434,0.4964,0.5331
6ef40534-5fad-4755-84de-7dcbd645d1f0,Jackrabbits,109,23,8,0.763,0.4555,0.5324
68d2aa5b-714f-4652-96f3-b71e1752413f,Mavericks,110,20,11,0.6993,0.4765,0.5322
91ec9ba2-12e5-4a75-9410-a166c82163fd,Panthers,111,19,12,0.7209,0.4688,0.5319
0d037a5d-827a-44dd-8b70-57603d671d5d,Utes,112,17,13,0.5423,0.5282,0.5317
f8b1bf00-5b73-4ac4-98c0-ec554027ae32,Cornhuskers,113,15,15,0.4597,0.5553,0.5314
a0fdb660-a822-4337-b01d-31c4d2c99c8a,Governors,114,20,11,0.6897,0.4781,0.531
1e42cce3-236b-4f3e-9650-2c45e6332e1e,Billikens,115,19,12,0.6033,0.5057,0.5301
532d3874-b4b3-4c5c-acc6-749a6db26c8f,Beavers,116,18,12,0.5694,0.5169,0.53
e6914f16-ca37-4d2e-ba26-a425910283e2,Aztecs,117,18,12,0.5806,0.5129,0.5298
1e5dc9e4-c60d-487b-8279-dfbec9229faa,Bobcats,118,21,8,0.7483,0.4561,0.5292
fe406882-9f22-495e-9df6-ef357a6803c6,Tigers,119,14,11,0.5891,0.5087,0.5288
8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Cowboys,119,12,19,0.3453,0.59,0.5288
61a3908a-7492-4b6f-809e-12c61976bb0a,Ramblers,121,19,13,0.5704,0.5103,0.5253
472c22e0-843d-472c-a871-f1593fb0725d,Chippewas,122,19,10,0.6496,0.4836,0.5251
558abf02-97f4-4323-aa99-63c076d35932,Bears,123,17,11,0.6371,0.4877,0.525
7aec5187-cb1b-45e5-8f7d-406d766cdc73,Hurricanes,124,14,17,0.3902,0.5696,0.5248
13358462-e05b-4449-8688-90c4622cdde8,Gamecocks,124,22,9,0.7724,0.4423,0.5248
63cad858-8654-4956-8438-8fe79cd1208a,Ragin' Cajuns,126,17,12,0.6058,0.4974,0.5245
500d7223-ecff-494b-9539-28427156c783,Highlanders,127,20,12,0.6667,0.4768,0.5243
441a11b4-b506-45b3-8030-fe72a4381c40,Lions,128,18,11,0.6277,0.4895,0.524
79871449-f5a1-4650-b3cf-85b78fd6943e,Runnin' Bulldogs,129,20,11,0.7218,0.456,0.5224
683ab61f-546f-44da-b085-c3a5740554aa,Cardinal,130,15,15,0.4922,0.5319,0.522
77ca152a-cb2f-48a5-97b2-492351250d94,Tigers,131,14,16,0.4179,0.5555,0.5211
a52b2ece-1f87-45b5-ae1e-8d0920479965,Wildcats,132,21,6,0.8045,0.4255,0.5202
953151f2-1e42-4cb0-a99e-202493a64dcf,Roadrunners,133,14,13,0.5289,0.5163,0.5195
22d90601-19d4-461b-a901-924d12f116ed,Bonnies,133,16,15,0.5103,0.5226,0.5195
55af9c69-3675-4b9b-a882-96640b782fff,Bulls,135,18,12,0.5538,0.5064,0.5183
7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4,Rams,136,16,14,0.5224,0.5168,0.5182
7cdfcf92-7fe7-46f1-9b66-6912114182e6,Salukis,137,17,15,0.526,0.5153,0.518
92456e1e-f48c-4385-96ab-14cb27d18726,Vaqueros,138,16,15,0.5096,0.5203,0.5176
f7e6acc3-0778-4de5-940a-d88e20df1159,Antelopes,139,17,11,0.6083,0.4871,0.5174
e76479d0-a768-46d2-89bf-7b9dae12bec8,Patriots,140,17,14,0.5172,0.5161,0.5164
67322042-9c40-4dc2-b33a-4754c02ec82a,Bearkats,140,18,10,0.6984,0.4557,0.5164
9c396fa7-c165-4599-8542-158bd0d9a199,Raiders,142,19,13,0.5896,0.4907,0.5154
2ed86226-3fff-4083-90fa-6b02307e6f73,Eagles,143,11,17,0.3828,0.5581,0.5143
3b6293f3-03db-46d2-8793-248963c2d83b,Gauchos,144,19,9,0.6953,0.4536,0.514
7e42fa84-68cd-47a6-b49a-18b5414d8084,Bears,145,19,10,0.6871,0.4557,0.5135
