team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
Wyoming,Cowboys,a7127c0a-a466-47ae-91ad-9a71ee2c9427,33,6825.0,873,1959,1078,569,6825.0,0.528,304,881,0.345,59,583,790,0.738,183,859,1042,518,449,1.15,215,130,654,6,2633,200,0,540,245,0,14,980,2796,2306.6,0.571,6.06,16.36,7.42,206.8,79.8,5.55,26.03,31.58,15.7,6.52,3.94,13.61,19.82,0.0,1.79,26.45,59.36,9.21,26.7,17.67,23.94,17.24,32.67,29.7,84.73,69.9
Air Force,Falcons,aa7af640-5762-4686-9181-39f7b8a8186e,31,6225.0,733,1751,996,483,6225.0,0.485,250,755,0.331,51,408,556,0.734,270,679,949,446,391,1.14,201,78,558,5,2124,165,0,449,284,0,6,798,2241,1995.64,0.532,5.32,14.48,9.16,200.8,68.5,8.71,21.9,30.61,14.4,6.48,2.52,12.61,18.0,0.0,1.65,23.65,56.48,8.06,24.35,13.16,17.94,15.58,32.13,25.74,72.29,64.38
Boise State,Broncos,c1c54dbf-805c-47fc-a707-c803e94db2a4,32,6500.0,878,1903,1094,571,6500.0,0.522,307,809,0.379,87,439,595,0.738,271,872,1143,427,433,0.99,183,70,576,5,2502,232,0,459,331,0,4,1080,2711,2164.8,0.578,7.25,14.34,10.34,203.1,78.2,8.47,27.25,35.72,13.3,5.72,2.19,13.53,18.0,0.0,2.72,27.44,59.47,9.59,25.28,13.72,18.59,17.84,34.19,33.75,84.72,67.65
Fresno State,Bulldogs,dd8db4d8-d984-4cab-b7f6-22c6b8c2c45f,32,6475.0,885,1805,1257,669,6475.0,0.532,216,548,0.394,67,473,682,0.694,257,757,1014,415,384,1.08,217,104,626,2,2459,207,0,494,312,0,11,1192,2696,2105.08,0.584,6.47,15.44,9.75,202.3,76.8,8.03,23.66,31.69,13.0,6.78,3.25,12.0,19.56,0.0,2.09,27.66,56.41,6.75,17.13,14.78,21.31,20.91,39.28,37.25,84.25,65.78
San Diego State,Aztecs,e6914f16-ca37-4d2e-ba26-a425910283e2,33,6600.0,902,1967,1258,663,6600.0,0.527,239,709,0.337,85,502,702,0.715,315,840,1155,489,394,1.24,206,107,564,7,2545,260,2,493,392,0,6,1128,2843,2275.88,0.559,7.88,14.94,11.88,200.0,77.1,9.55,25.45,35.0,14.8,6.24,3.24,11.94,17.09,0.06,2.58,27.33,59.61,7.24,21.48,15.21,21.27,20.09,38.12,34.18,86.15,68.97
Auburn,Tigers,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,34,6800.0,906,2102,1194,582,6800.0,0.487,324,908,0.357,98,647,836,0.774,361,826,1187,481,410,1.17,252,180,674,16,2783,310,0,584,464,0,11,1018,3088,2469.84,0.563,9.12,17.18,13.65,200.0,81.9,10.62,24.29,34.91,14.1,7.41,5.29,12.06,19.82,0.0,2.88,26.65,61.82,9.53,26.71,19.03,24.59,17.12,35.12,29.94,90.82,72.64
South Carolina,Gamecocks,1c7ec608-3b36-4cee-adac-9265e3792597,33,6650.0,756,1899,1191,516,6650.0,0.433,240,708,0.339,156,561,801,0.7,345,768,1113,423,454,0.93,180,105,664,2,2313,173,6,531,364,0,16,818,2297,2251.44,0.514,5.24,16.09,11.03,201.5,70.1,10.45,23.27,33.73,12.8,5.45,3.18,13.76,20.12,0.18,4.73,22.91,57.55,7.27,21.45,17.0,24.27,15.64,36.09,24.79,69.61,68.23
Kentucky,Wildcats,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,37,7425.0,998,2115,1569,803,7425.0,0.512,195,546,0.357,132,649,930,0.698,394,951,1345,488,481,1.01,208,176,703,10,2840,310,3,561,423,0,16,1264,3178,2524.2,0.563,8.38,15.16,11.43,200.7,76.8,10.65,25.7,36.35,13.2,5.62,4.76,13.0,19.0,0.08,3.57,26.97,57.16,5.27,14.76,17.54,25.14,21.7,42.41,34.16,85.89,68.22
Georgia,Bulldogs,4f4b0771-994c-4126-822d-7525aaa00f65,33,6700.0,767,1825,1193,566,6700.0,0.474,201,632,0.318,93,512,732,0.699,350,848,1198,402,420,0.96,126,156,534,5,2247,108,2,313,400,0,7,816,2431,2147.08,0.523,3.27,9.48,12.12,203.0,68.1,10.61,25.7,36.3,12.2,3.82,4.73,12.73,16.18,0.06,2.82,23.24,55.3,6.09,19.15,15.52,22.18,17.15,36.15,24.73,73.67,65.06
LSU,Tigers,70e2bedd-3a0a-479c-ac99-e3f58aa6824b,33,6625.0,916,1926,1152,648,6625.0,0.563,268,774,0.346,99,459,628,0.731,282,741,1023,467,383,1.22,252,110,588,10,2559,314,2,556,347,0,7,1142,2849,2202.32,0.581,9.52,16.85,10.52,200.8,77.5,8.55,22.45,31.0,14.2,7.64,3.33,11.61,17.82,0.06,3.0,27.76,58.36,8.12,23.45,13.91,19.03,19.64,34.91,34.61,86.33,66.74
