year,Seed,Team Name,TEAM ID
2018,E1,VILLANOVA WILDCATS,4383eb6a-7fd8-4ff2-94c5-43c933121e88
2018,E10,BUTLER BULLDOGS,bdb7d7a4-45f8-4bf3-ab85-15488c451494
2018,E11,ST BONAVENTURE BONNIES,22d90601-19d4-461b-a901-924d12f116ed
2018,E12,MURRAY STATE RACERS,77a69fb0-1355-4342-ac09-b4cc7949d95e
2018,E13,MARSHALL THUNDERING HERD,58d8baa3-7624-4b21-a47f-a23df2bf8859
2018,E14,STEPHEN F AUSTIN LUMBERJACKS,5ef64f01-86ae-4553-9834-c79cc0859eaf
2018,E15,CSU FULLERTON TITANS,c009914b-3303-4dee-b915-978aa48a31d0
2018,E16,RADFORD HIGHLANDERS,f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b
2018,E2,PURDUE BOILERMAKERS,12d7f888-675b-459f-9099-a38f771d8a95
2018,E3,TEXAS TECH RED RAIDERS,f8c705b7-87d3-411a-9c8b-5124daab0469
2018,E4,WICHITA STATE SHOCKERS,f38b58de-3273-4723-a78b-2f918e9aa2d5
2018,E5,WEST VIRGINIA MOUNTAINEERS,f770d3a2-221c-49ce-9c7a-680f7417fe9e
2018,E6,FLORIDA GATORS,912f8837-1d81-4ef9-a576-a21f271d4c64
2018,E7,ARKANSAS RAZORBACKS,c70c23c4-ab09-4797-a1af-792c848ab17f
2018,E8,VIRGINIA TECH HOKIES,324ccccc-575b-4b82-acb0-fbb8e68da13b
2018,E9,ALABAMA CRIMSON TIDE,c2104cdc-c83d-40d2-a3cd-df986e29f5d3
2018,M1,KANSAS JAYHAWKS,fae4855b-1b64-4b40-a632-9ed345e1e952
2018,M10,OKLAHOMA SOONERS,b2fda957-e15c-4fb2-8a13-6e58496f561e
2018,M11,SYRACUSE ORANGE,8cd24de1-2be8-4b77-bcfa-47be0495a5f4
2018,M12,NEW MEXICO STATE AGGIES,5016fe1a-9571-4d10-bf5b-b9c1b496bd57
2018,M13,CHARLESTON COUGARS,8548dacb-3636-48a8-8c46-611ab0c15fc0
2018,M14,BUCKNELL BISON,98d2123a-c7b9-4b5f-8a81-43f76d8537dc
2018,M15,IONA GAELS,255c2a87-40c0-4989-bbb9-d286aac5d28e
2018,M16,PENNSYLVANIA QUAKERS,e6c94452-1adf-4fb9-90e5-10f165c57c5a
2018,M2,DUKE BLUE DEVILS,faeb1160-5d15-4f26-99fc-c441cf21fc7f
2018,M3,MICHIGAN STATE SPARTANS,a41d5a05-4c11-4171-a57e-e7a1ea325a6d
2018,M4,AUBURN TIGERS,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2
2018,M5,CLEMSON TIGERS,dcf5c2e7-c227-4c20-af26-715d5f859412
2018,M6,TCU HORNED FROGS,f7fcbb6e-4a55-41ea-ba21-f763ed914467
2018,M7,RHODE ISLAND RAMS,7e42bca2-3cd7-4aca-aa46-f190fe5d8eb4
2018,M8,SETON HALL PIRATES,aef5e386-d8e8-460c-8014-3a2f090fd988
2018,M9,NC STATE WOLFPACK,52df1e19-b142-4a76-a439-ad68455d0581
2018,S1,VIRGINIA CAVALIERS,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
2018,S10,TEXAS LONGHORNS,6ed15092-2670-450a-99c2-61d861e87644
2018,S11,LOYOLA-CHICAGO RAMBLERS,61a3908a-7492-4b6f-809e-12c61976bb0a
2018,S12,DAVIDSON WILDCATS,2920c5fa-1e86-4958-a7c4-1e97b8e201d8
2018,S13,BUFFALO BULLS,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9
2018,S14,WRIGHT STATE RAIDERS,9c396fa7-c165-4599-8542-158bd0d9a199
2018,S15,GEORGIA STATE PANTHERS,94ea835b-8ce9-4de2-a5b1-971548fea974
2018,S16,UMBC RETRIEVERS,32755362-6336-4dd3-ac34-6f72a6cc150b
2018,S2,CINCINNATI BEARCATS,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a
2018,S3,TENNESSEE VOLUNTEERS,b827dbdf-230f-4916-9703-3bb9004e26eb
2018,S4,ARIZONA WILDCATS,9b166a3f-e64b-4825-bb6b-92c6f0418263
2018,S5,KENTUCKY WILDCATS,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
2018,S6,MIAMI HURRICANES,7aec5187-cb1b-45e5-8f7d-406d766cdc73
2018,S7,NEVADA WOLF PACK,62a73b4a-e281-4483-a1f8-f1160a18e456
2018,S8,CREIGHTON BLUEJAYS,7d797407-623e-476d-b299-46de4275414d
2018,S9,KANSAS STATE WILDCATS,d203f38a-a166-4258-bca2-e161b591ecfb
2018,W1,XAVIER MUSKETEERS,0d8a328f-20ce-410b-bed1-15fc01308aaf
2018,W10,PROVIDENCE FRIARS,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc
2018,W11,SAN DIEGO STATE AZTECS,e6914f16-ca37-4d2e-ba26-a425910283e2
2018,W12,SOUTH DAKOTA STATE JACKRABBITS,6ef40534-5fad-4755-84de-7dcbd645d1f0
2018,W13,UNC GREENSBORO SPARTANS,612f7f66-1de1-4d42-b842-9a508daab911
2018,W14,MONTANA GRIZZLIES,e3848467-66c0-41e5-8283-02e3586d8601
2018,W15,LIPSCOMB BISONS,a2b8223d-40b3-4076-b5df-55655c2f8591
2018,W16,TEXAS SOUTHERN TIGERS,eb157f98-0697-459c-9293-ddb162ceb28b
2018,W2,NORTH CAROLINA TAR HEELS,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
2018,W3,MICHIGAN WOLVERINES,bdc2561d-f603-4fab-a262-f1d2af462277
2018,W4,GONZAGA BULLDOGS,2f4d21f8-6d5f-48a5-abca-52a30583871a
2018,W5,OHIO STATE BUCKEYES,857462b3-0ab6-4d26-9669-10ca354e382b
2018,W6,HOUSTON COUGARS,1f99a164-d593-4d81-85d5-0d7889d6f486
2018,W7,TEXAS A&M AGGIES,ef184799-d79b-49d9-a662-991eaf4044cd
2018,W8,MISSOURI TIGERS,77ca152a-cb2f-48a5-97b2-492351250d94
2018,W9,FLORIDA STATE SEMINOLES,d3c8a767-b6fc-45d4-a5f2-18406f2993f1
