 


  
  

NCAA Men's Basketball
Division IScoring Offense
Through Games 03/08/2019


"Rank","Name","GM","W-L","PTS","PPG"
"136","Bethune-Cookman","30","14-16","2219","74.0"
"137","North Dakota","29","12-17","2144","73.9"
"138","Vermont","30","24-6","2216","73.9"
"139","Wright St.","32","20-12","2360","73.8"
"140","Morehead St.","33","13-20","2431","73.7"
"141","Lafayette","30","10-20","2209","73.6"
"142","Seton Hall","29","17-12","2135","73.6"
"143","Penn","29","18-11","2134","73.6"
"144","Illinois","30","11-19","2206","73.5"
"145","Oregon St.","29","17-12","2132","73.5"
"146","Northern Ill.","31","15-16","2279","73.5"
"","Detroit Mercy","31","11-20","2279","73.5"
"148","Arkansas St.","30","13-17","2205","73.5"
"149","Saint Mary's (CA)","31","20-11","2277","73.5"
"150","UC Santa Barbara","29","20-9","2129","73.4"
"151","Dayton","30","20-10","2200","73.3"
"152","Louisiana Tech","31","19-12","2273","73.3"
"153","San Diego St.","30","19-11","2199","73.3"
"154","Duquesne","30","19-11","2198","73.3"
"155","Columbia","27","10-17","1978","73.3"
"156","South Carolina","30","15-15","2197","73.2"
"157","Idaho St.","28","10-18","2048","73.1"
"158","Quinnipiac","29","16-13","2121","73.1"
"159","Seattle U","30","17-13","2194","73.1"
"","Prairie View","30","18-12","2194","73.1"
"161","UCF","29","23-6","2119","73.1"
"162","SIUE","31","10-21","2265","73.1"
"163","Nicholls St.","30","13-17","2191","73.0"
"","Texas St.","30","23-7","2191","73.0"
"165","Cal St. Fullerton","29","14-15","2117","73.0"
"166","South Alabama","30","14-16","2188","72.9"
"167","Loyola Maryland","32","11-21","2332","72.9"
"168","N.C. Central","29","15-14","2113","72.9"
"","Northern Ariz.","29","9-20","2113","72.9"
"170","Texas Tech","30","25-5","2185","72.8"
"","West Virginia","30","12-18","2185","72.8"
"172","Stanford","30","15-15","2183","72.8"
"173","Tennessee St.","30","9-21","2182","72.7"
"","Alabama","30","17-13","2182","72.7"
"175","Dartmouth","29","11-18","2109","72.7"
"176","North Dakota St.","30","15-15","2181","72.7"
"177","Troy","29","11-18","2105","72.6"
"178","Southern Miss.","29","18-11","2104","72.6"
"","Hawaii","29","17-12","2104","72.6"
"180","Central Ark.","30","12-18","2175","72.5"
"181","Mercer","30","11-19","2174","72.5"
"182","Niagara","32","13-19","2318","72.4"
"183","San Diego","33","20-13","2389","72.4"
"184","Butler","30","16-14","2171","72.4"
"185","Oral Roberts","31","11-20","2241","72.3"
"186","Boston U.","33","15-18","2385","72.3"
"187","South Fla.","30","19-11","2168","72.3"
"","Tulsa","30","18-12","2168","72.3"
"189","Georgia","30","11-19","2167","72.2"
"190","Western Ky.","31","18-13","2236","72.1"
"191","Virginia","29","27-2","2091","72.1"
"192","UC Irvine","31","26-5","2235","72.1"
