 


  
  

NCAA Men's Basketball
Division IRebound Margin
Through Games 03/08/2019


"Rank","Name","GM","W-L","REB","RPG","OPP REB","OPP RPG","REB MAR"
"263","Kennesaw St.","32","6-26","1163","36.3","1223","38.2","-1.9"
"264","Tulane","29","4-25","1063","36.7","1119","38.6","-1.9"
"265","Chattanooga","31","12-19","1062","34.3","1122","36.2","-1.9"
"266","Howard","31","16-15","1148","37.0","1210","39.0","-2.0"
"","Akron","31","16-15","1135","36.6","1197","38.6","-2.0"
"","Saint Joseph's","31","13-18","1075","34.7","1137","36.7","-2.0"
"269","UT Martin","31","12-19","1062","34.3","1125","36.3","-2.0"
"270","Indiana St.","31","15-16","1007","32.5","1072","34.6","-2.1"
"271","Northwestern","30","13-17","1020","34.0","1083","36.1","-2.1"
"272","Western Ill.","29","9-20","1024","35.3","1085","37.4","-2.1"
"273","Washington St.","30","11-19","1012","33.7","1076","35.9","-2.1"
"274","Tulsa","30","18-12","1041","34.7","1107","36.9","-2.2"
"275","Loyola Maryland","32","11-21","996","31.1","1069","33.4","-2.3"
"276","Coppin St.","31","7-24","1127","36.4","1199","38.7","-2.3"
"277","UIC","32","16-16","1106","34.6","1181","36.9","-2.3"
"","FGCU","32","14-18","1061","33.2","1136","35.5","-2.3"
"279","Georgia Tech","31","14-17","1043","33.6","1116","36.0","-2.4"
"280","Iona","30","15-15","1030","34.3","1104","36.8","-2.5"
"","Lafayette","30","10-20","1001","33.4","1075","35.8","-2.5"
"","Southern U.","30","6-24","915","30.5","989","33.0","-2.5"
"283","Nebraska","30","15-15","1074","35.8","1149","38.3","-2.5"
"","Charlotte","28","7-21","855","30.5","925","33.0","-2.5"
"285","Tennessee Tech","31","8-23","1122","36.2","1200","38.7","-2.5"
"286","East Carolina","29","10-19","1006","34.7","1080","37.2","-2.6"
"287","Notre Dame","30","13-17","1095","36.5","1172","39.1","-2.6"
"","Temple","30","22-8","1033","34.4","1110","37.0","-2.6"
"289","SIUE","31","10-21","1082","34.9","1162","37.5","-2.6"
"290","Northern Ariz.","29","9-20","981","33.8","1056","36.4","-2.6"
"291","Campbell","32","20-12","1022","31.9","1107","34.6","-2.7"
"292","CSUN","31","13-18","1103","35.6","1187","38.3","-2.7"
"293","Duquesne","30","19-11","1068","35.6","1150","38.3","-2.7"
"294","Louisiana","30","18-12","1064","35.5","1147","38.2","-2.8"
"295","Elon","31","11-20","1045","33.7","1133","36.5","-2.8"
"296","Central Ark.","30","12-18","1054","35.1","1140","38.0","-2.9"
"297","Florida A&M","31","12-19","995","32.1","1084","35.0","-2.9"
"298","South Dakota","29","13-16","902","31.1","987","34.0","-2.9"
"299","Miami (FL)","30","13-17","1000","33.3","1090","36.3","-3.0"
"300","Idaho","30","5-25","997","33.2","1088","36.3","-3.0"
"301","Fairfield","31","9-22","968","31.2","1065","34.4","-3.1"
"302","South Alabama","30","14-16","967","32.2","1061","35.4","-3.1"
"303","Hartford","31","17-14","985","31.8","1084","35.0","-3.2"
"304","Northwestern St.","30","11-19","1067","35.6","1163","38.8","-3.2"
"305","New Hampshire","29","5-24","987","34.0","1080","37.2","-3.2"
"306","Stetson","31","7-24","1110","35.8","1212","39.1","-3.3"
"307","Pepperdine","32","15-17","1022","31.9","1128","35.3","-3.3"
"308","N.C. A&T","29","17-12","946","32.6","1045","36.0","-3.4"
"309","Mississippi Val.","31","6-25","1134","36.6","1243","40.1","-3.5"
"310","Fordham","30","12-18","1006","33.5","1114","37.1","-3.6"
"","Incarnate Word","30","6-24","822","27.4","930","31.0","-3.6"
"312","Mt. St. Mary's","31","9-22","1036","33.4","1148","37.0","-3.6"
"313","Green Bay","32","17-15","1162","36.3","1278","39.9","-3.6"
"314","George Washington","30","8-22","1008","33.6","1119","37.3","-3.7"
"315","The Citadel","30","12-18","1104","36.8","1216","40.5","-3.7"
"316","Cleveland St.","31","10-21","1094","35.3","1210","39.0","-3.7"
"317","Illinois","30","11-19","985","32.8","1098","36.6","-3.8"
"","Bryant","30","10-20","969","32.3","1082","36.1","-3.8"
"319","Siena","31","16-15","919","29.6","1038","33.5","-3.8"
"320","VMI","31","11-20","1079","34.8","1199","38.7","-3.9"
"321","Morgan St.","29","9-20","1047","36.1","1160","40.0","-3.9"
"322","Eastern Ky.","31","13-18","1167","37.6","1288","41.5","-3.9"
"323","Evansville","32","11-21","1092","34.1","1217","38.0","-3.9"
"324","Oakland","32","16-16","1018","31.8","1144","35.8","-3.9"
"325","Canisius","31","15-16","986","31.8","1109","35.8","-4.0"
"326","Alabama A&M","31","5-26","989","31.9","1119","36.1","-4.2"
"327","Cal Poly","28","6-22","942","33.6","1065","38.0","-4.4"
"328","UC Davis","29","11-18","875","30.2","1006","34.7","-4.5"
"329","UNC Asheville","31","4-27","931","30.0","1073","34.6","-4.6"
"330","Arkansas","30","16-14","1011","33.7","1149","38.3","-4.6"
"331","USC Upstate","32","6-26","1051","32.8","1199","37.5","-4.6"
"332","Cornell","29","14-15","952","32.8","1092","37.7","-4.8"
"333","Prairie View","30","18-12","992","33.1","1138","37.9","-4.9"
"334","Portland","32","7-25","1033","32.3","1197","37.4","-5.1"
"335","Delaware St.","29","5-24","1063","36.7","1215","41.9","-5.2"
"336","St. John's (NY)","30","20-10","990","33.0","1152","38.4","-5.4"
"337","UTRGV","33","18-15","1103","33.4","1288","39.0","-5.6"
"338","Binghamton","31","9-22","1001","32.3","1191","38.4","-6.1"
"","UMES","31","7-24","962","31.0","1152","37.2","-6.1"
"340","Richmond","30","12-18","870","29.0","1055","35.2","-6.2"
"341","Detroit Mercy","31","11-20","1019","32.9","1211","39.1","-6.2"
"342","Georgia St.","30","21-9","969","32.3","1155","38.5","-6.2"
"343","UMKC","30","10-20","908","30.3","1098","36.6","-6.3"
"344","Nicholls St.","30","13-17","1008","33.6","1202","40.1","-6.5"
"345","California","30","8-22","882","29.4","1079","36.0","-6.6"
"346","Savannah St.","30","11-19","1136","37.9","1337","44.6","-6.7"
"347","FIU","30","18-12","1086","36.2","1289","43.0","-6.8"
"348","Wyoming","30","7-23","915","30.5","1131","37.7","-7.2"
"349","Chicago St.","30","3-27","938","31.3","1164","38.8","-7.5"
"350","Holy Cross","33","16-17","916","27.8","1190","36.1","-8.3"
"351","Marshall","30","17-13","995","33.2","1281","42.7","-9.5"
Reclassifying
"NR","California Baptist","29","16-13","1095","37.8","1006","34.7","3.1"
"NR","North Ala.","32","10-22","1171","36.6","1200","37.5","-0.9"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
