 


  
  

NCAA Men's Basketball
Division IScoring Defense
Through Games 03/08/2019


"Rank","Name","GM","W-L","OPP PTS","OPP PPG"
"136","Charleston So.","32","17-15","2230","69.7"
"137","Colgate","32","22-10","2231","69.7"
"138","UTEP","28","8-20","1953","69.8"
"139","Butler","30","16-14","2094","69.8"
"140","Mississippi St.","30","21-9","2096","69.9"
"141","Fairfield","31","9-22","2167","69.9"
"142","UTRGV","33","18-15","2307","69.9"
"143","George Mason","30","16-14","2099","70.0"
"","UT Arlington","30","15-15","2099","70.0"
"145","St. Francis Brooklyn","32","17-15","2239","70.0"
"146","Pacific","32","14-18","2241","70.0"
"","Longwood","32","15-17","2241","70.0"
"148","SMU","29","13-16","2031","70.0"
"149","Santa Clara","31","16-15","2172","70.1"
"150","Illinois St.","33","17-16","2314","70.1"
"151","Campbell","32","20-12","2244","70.1"
"152","Kansas","30","22-8","2104","70.1"
"153","Drake","32","24-8","2247","70.2"
"154","Lamar University","30","18-12","2109","70.3"
"155","South Dakota","29","13-16","2040","70.3"
"156","Western Ky.","31","18-13","2183","70.4"
"157","CSU Bakersfield","29","16-13","2046","70.6"
"158","Monmouth","32","12-20","2258","70.6"
"159","Northeastern","30","20-10","2119","70.6"
"160","Gardner-Webb","33","22-11","2332","70.7"
"161","Dartmouth","29","11-18","2050","70.7"
"162","Utah Valley","30","22-8","2121","70.7"
"","TCU","30","18-12","2121","70.7"
"164","Ole Miss","30","19-11","2122","70.7"
"165","UConn","30","14-16","2124","70.8"
"166","Cal St. Fullerton","29","14-15","2056","70.9"
"167","Maine","31","5-26","2198","70.9"
"","Buffalo","31","28-3","2198","70.9"
"169","Xavier","30","16-14","2130","71.0"
"170","Tulsa","30","18-12","2131","71.0"
"171","Miami (FL)","30","13-17","2133","71.1"
"172","Cornell","29","14-15","2062","71.1"
"173","Northern Ill.","31","15-16","2205","71.1"
"174","Temple","30","22-8","2135","71.2"
"175","Quinnipiac","29","16-13","2065","71.2"
"176","Oklahoma St.","30","11-19","2138","71.3"
"","NC State","30","20-10","2138","71.3"
"178","Richmond","30","12-18","2139","71.3"
"179","Alabama","30","17-13","2141","71.4"
"180","Fairleigh Dickinson","31","18-13","2214","71.4"
"181","Seton Hall","29","17-12","2072","71.4"
"182","Duquesne","30","19-11","2144","71.5"
"183","Texas A&M","29","13-16","2073","71.5"
"184","Indiana St.","31","15-16","2218","71.5"
"185","Alabama A&M","31","5-26","2219","71.6"
"186","Stanford","30","15-15","2148","71.6"
"187","Towson","31","10-21","2220","71.6"
"","Ball St.","31","15-16","2220","71.6"
"","Binghamton","31","9-22","2220","71.6"
"190","George Washington","30","8-22","2150","71.7"
"191","Delaware","31","16-15","2223","71.7"
"192","Ark.-Pine Bluff","30","12-18","2153","71.8"
"193","Air Force","29","13-16","2082","71.8"
"194","UMES","31","7-24","2228","71.9"
"195","Army West Point","32","13-19","2305","72.0"
"196","Mercer","30","11-19","2161","72.0"
"197","Bethune-Cookman","30","14-16","2165","72.2"
"198","SFA","29","14-15","2093","72.2"
"199","Vanderbilt","30","9-21","2166","72.2"
"200","Alabama St.","28","11-17","2024","72.3"
"201","Saint Joseph's","31","13-18","2241","72.3"
"","Kent St.","31","22-9","2241","72.3"
"203","Navy","30","12-18","2170","72.3"
"","Boston U.","33","15-18","2387","72.3"
"205","Presbyterian","33","18-15","2389","72.4"
"206","Evansville","32","11-21","2317","72.4"
"207","North Dakota St.","30","15-15","2173","72.4"
"208","Hofstra","31","25-6","2246","72.5"
"209","Hartford","31","17-14","2247","72.5"
"210","Boston College","29","14-15","2103","72.5"
"211","Bucknell","31","20-11","2249","72.5"
"212","Prairie View","30","18-12","2178","72.6"
"213","South Alabama","30","14-16","2179","72.6"
"214","La Salle","29","9-20","2110","72.8"
"215","Bowling Green","31","20-11","2256","72.8"
"216","Coastal Caro.","29","15-14","2111","72.8"
"217","Arkansas","30","16-14","2187","72.9"
"218","James Madison","31","13-18","2260","72.9"
"219","Columbia","27","10-17","1969","72.9"
"220","North Dakota","29","12-17","2115","72.9"
"221","Southern California","30","15-15","2189","73.0"
"222","North Carolina","30","25-5","2191","73.0"
"223","LIU Brooklyn","31","16-15","2265","73.1"
"224","Massachusetts","30","11-19","2192","73.1"
"225","UNLV","29","16-13","2119","73.1"
"226","Western Ill.","29","9-20","2120","73.1"
"227","Austin Peay","33","22-11","2413","73.1"
"228","South Dakota St.","31","24-7","2267","73.1"
"229","Yale","26","19-7","1902","73.2"
"230","Middle Tenn.","30","10-20","2196","73.2"
"231","Arizona St.","29","20-9","2123","73.2"
"232","South Carolina","30","15-15","2197","73.2"
"233","Iowa","30","21-9","2201","73.4"
"234","LSU","30","25-5","2202","73.4"
