 


  
  

NCAA Men's Basketball
Division ISteals Per Game
Through Games 03/08/2019


"Rank","Name","GM","W-L","ST","STPG"
"","Hofstra","31","25-6","202","6.5"
"143","Liberty","33","27-6","215","6.5"
"144","Alabama St.","28","11-17","182","6.5"
"145","Coastal Caro.","29","15-14","188","6.5"
"","SFA","29","14-15","188","6.5"
"147","USC Upstate","32","6-26","207","6.5"
"148","UT Arlington","30","15-15","194","6.5"
"","Indiana","30","16-14","194","6.5"
"150","N.C. Central","29","15-14","187","6.4"
"","Texas A&M","29","13-16","187","6.4"
"152","UAB","30","17-13","193","6.4"
"","Jackson St.","30","12-18","193","6.4"
"","Clemson","30","18-12","193","6.4"
"","Nevada","30","27-3","193","6.4"
"156","DePaul","28","15-13","180","6.4"
"157","North Florida","33","16-17","212","6.4"
"158","CSUN","31","13-18","199","6.4"
"159","Iowa","30","21-9","192","6.4"
"160","NJIT","33","21-12","211","6.4"
"161","SIUE","31","10-21","198","6.4"
"162","Grand Canyon","29","18-11","185","6.4"
"163","Montana","30","22-8","191","6.4"
"","George Mason","30","16-14","191","6.4"
"165","UC Davis","29","11-18","184","6.3"
"","Northern Ariz.","29","9-20","184","6.3"
"167","Loyola Chicago","32","20-12","203","6.3"
"168","A&M-Corpus Christi","30","13-17","190","6.3"
"169","BYU","31","19-12","196","6.3"
"","Canisius","31","15-16","196","6.3"
"","UNC Asheville","31","4-27","196","6.3"
"172","Utah St.","31","25-6","195","6.3"
"173","UConn","30","14-16","188","6.3"
"","West Virginia","30","12-18","188","6.3"
"175","James Madison","31","13-18","194","6.3"
"","Hampton","31","15-16","194","6.3"
"177","Eastern Ill.","32","14-18","200","6.3"
"","Long Beach St.","32","14-18","200","6.3"
"179","Arizona St.","29","20-9","181","6.2"
"180","Northeastern","30","20-10","187","6.2"
"181","Princeton","26","16-10","162","6.2"
"182","Albany (NY)","31","12-19","193","6.2"
"","South Dakota St.","31","24-7","193","6.2"
"184","Wright St.","32","20-12","199","6.2"
"","Northern Ky.","32","24-8","199","6.2"
"","Pacific","32","14-18","199","6.2"
"187","Baylor","30","19-11","186","6.2"
"","South Carolina","30","15-15","186","6.2"
"","Northwestern St.","30","11-19","186","6.2"
"190","Longwood","32","15-17","198","6.2"
"","Army West Point","32","13-19","198","6.2"
"192","St. Bonaventure","30","15-15","185","6.2"
"193","UNLV","29","16-13","178","6.1"
"194","Southern California","30","15-15","184","6.1"
"","Colorado St.","30","12-18","184","6.1"
"","Wagner","30","13-17","184","6.1"
"197","Valparaiso","33","15-18","202","6.1"
"198","Kentucky","30","25-5","183","6.1"
"199","Stony Brook","31","24-7","189","6.1"
"200","South Alabama","30","14-16","182","6.1"
"","Middle Tenn.","30","10-20","182","6.1"
"","Michigan","30","26-4","182","6.1"
"","Utah Valley","30","22-8","182","6.1"
"","San Francisco","30","21-9","182","6.1"
"","Tennessee","30","27-3","182","6.1"
"206","Chicago St.","30","3-27","181","6.0"
"","Grambling","30","15-15","181","6.0"
"","Georgetown","30","18-12","181","6.0"
"209","Boston U.","33","15-18","199","6.0"
"210","Colgate","32","22-10","192","6.0"
"","UCLA","30","16-14","180","6.0"
"","Texas","30","16-14","180","6.0"
"","Central Ark.","30","12-18","180","6.0"
"","Fordham","30","12-18","180","6.0"
"215","Radford","32","22-10","191","6.0"
"216","Saint Mary's (CA)","31","20-11","185","6.0"
"217","San Diego St.","30","19-11","179","6.0"
"","Stanford","30","15-15","179","6.0"
"219","Miami (OH)","31","15-16","184","5.9"
"220","New Mexico St.","30","26-4","178","5.9"
"","Incarnate Word","30","6-24","178","5.9"
"","Oklahoma","30","19-11","178","5.9"
"223","Southern Utah","29","14-15","172","5.9"
"","Cal St. Fullerton","29","14-15","172","5.9"
"","Oregon St.","29","17-12","172","5.9"
"226","St. Francis Brooklyn","32","17-15","189","5.9"
"227","Arkansas St.","30","13-17","177","5.9"
"","Boise St.","30","11-19","177","5.9"
"229","La.-Monroe","29","15-14","171","5.9"
"230","Yale","26","19-7","153","5.9"
"231","Siena","31","16-15","182","5.9"
"","Southeast Mo. St.","31","10-21","182","5.9"
"233","Cornell","29","14-15","170","5.9"
"234","Presbyterian","33","18-15","193","5.8"
"235","Norfolk St.","31","19-12","181","5.8"
"236","Old Dominion","30","23-7","175","5.8"
"237","North Dakota","29","12-17","169","5.8"
"238","Oakland","32","16-16","186","5.8"
"239","Louisiana Tech","31","19-12","180","5.8"
"240","Georgia","30","11-19","174","5.8"
"241","San Diego","33","20-13","191","5.8"
"242","Kennesaw St.","32","6-26","185","5.8"
"243","Notre Dame","30","13-17","173","5.8"
"","Butler","30","16-14","173","5.8"
"245","SMU","29","13-16","167","5.8"
"","UCF","29","23-6","167","5.8"
"247","Evansville","32","11-21","184","5.8"
"248","UC Irvine","31","26-5","178","5.7"
"","UMES","31","7-24","178","5.7"
