Seed,team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att,Currentcoach,Month,birth_year,Since,M_D_DOB,Sign,ChineseZodiac,Age,season_year
S4,Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,35,7100,1009,2003,1361,772,7100,0.567,237,642,0.369,92,563,741,0.76,316,892,1208,531,427,1.24,173,158,608,11,2818,247,0,441,414,0,13,1176,3289,2329.04,0.605,7.06,12.6,11.83,202.9,80.5,9.03,25.49,34.51,15.2,4.94,4.51,12.2,17.37,0,2.63,28.83,57.23,6.77,18.34,16.09,21.17,22.06,38.89,33.6,93.97,66.54,Sean Miller,11,1968,2009–10,1117,Scorpio,Monkey,51,2017
E12,Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,32,6400,870,1803,1084,599,6400,0.553,271,719,0.377,19,504,687,0.734,296,798,1094,471,384,1.23,216,104,559,9,2515,256,0,459,370,0,1,1052,2900,2105.28,0.597,8,14.34,11.56,200,78.6,9.25,24.94,34.19,14.7,6.75,3.25,12,17.47,0,0.59,27.19,56.34,8.47,22.47,15.75,21.47,18.72,33.88,32.88,90.63,65.79,Matt McMahon,4,1978,2015–16,426,Taurus,Horse,41,2017
S11,Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,38,7600,995,1963,1263,718,7600,0.568,277,700,0.396,63,454,626,0.725,196,928,1124,594,472,1.26,241,90,528,0,2721,218,0,562,243,0,0,1252,3158,2238.44,0.608,5.74,14.79,6.39,200,71.6,5.16,24.42,29.58,15.6,6.34,2.37,12.42,13.89,0,1.66,26.18,51.66,7.29,18.42,11.95,16.47,18.89,33.24,32.95,83.11,58.91,Porter Moser,8,1968,2011–12,824,Virgo,Monkey,51,2017
S10,Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,34,7050,882,2010,1244,637,7050,0.512,245,766,0.32,98,441,663,0.665,318,819,1137,395,400,0.99,210,167,549,3,2450,253,1,462,356,0,11,1116,2609,2301.72,0.532,7.44,13.59,10.47,207.4,72.1,9.35,24.09,33.44,11.6,6.18,4.91,11.76,16.15,0.03,2.88,25.94,59.12,7.21,22.53,12.97,19.5,18.74,36.59,32.82,76.74,67.7,Shaka Smart,4,1977,2015–16,408,Aries,Snake,42,2017
M10,Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,32,6475,954,2062,1226,654,6475,0.533,300,836,0.359,136,510,684,0.746,296,849,1145,479,429,1.12,208,151,552,3,2718,281,2,494,334,0,7,1182,2990,2362.96,0.575,8.78,15.44,10.44,202.3,84.9,9.25,26.53,35.78,15,6.5,4.72,13.41,17.25,0.06,4.25,29.81,64.44,9.38,26.13,15.94,21.38,20.44,38.31,36.94,93.44,73.84,Lon Kruger,8,1952,2011–12,819,Leo,Dragon,67,2017
S9,Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,37,7425,937,2024,1279,683,7425,0.534,254,745,0.341,76,502,684,0.734,259,785,1044,510,423,1.21,294,110,684,3,2630,265,0,639,310,0,12,1096,2896,2324.96,0.566,7.16,17.27,8.38,200.7,71.1,7,21.22,28.22,13.8,7.95,2.97,11.43,18.49,0,2.05,25.32,54.7,6.86,20.14,13.57,18.49,18.46,34.57,29.62,78.27,62.84,Bruce Weber,10,1956,2012–13,1019,Libra,Monkey,63,2017
E5,West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,37,7425,1036,2374,1463,714,7425,0.488,322,911,0.353,144,570,744,0.766,451,820,1271,561,421,1.33,301,192,800,9,2964,233,4,743,570,0,13,1036,3356,2701.36,0.549,6.3,20.08,15.41,200.7,80.1,12.19,22.16,34.35,15.2,8.14,5.19,11.38,21.62,0.11,3.89,28,64.16,8.7,24.62,15.41,20.11,19.3,39.54,28,90.7,73.01,Bob Huggins,9,1953,2007–08,921,Virgo,Snake,66,2017
M6,TCU,Horned Frogs,f7fcbb6e-4a55-41ea-ba21-f763ed914467,33,6725,979,1973,1279,705,6725,0.551,274,694,0.395,128,476,675,0.705,313,786,1099,615,420,1.46,214,119,558,8,2708,243,1,479,391,1,12,1258,3142,2270,0.596,7.36,14.52,11.85,203.8,82.1,9.48,23.82,33.3,18.6,6.48,3.61,12.73,16.91,0.03,3.88,29.67,59.79,8.3,21.03,14.42,20.45,21.36,38.76,38.12,95.21,68.79,Jamie Dixon,11,1965,2016–17,1110,Scorpio,Snake,54,2017
E3,Texas Tech,Red Raiders,f8c705b7-87d3-411a-9c8b-5124daab0469,37,7450,964,2097,1394,712,7450,0.511,252,703,0.358,129,579,823,0.704,351,864,1215,510,456,1.12,262,153,669,2,2759,216,0,664,411,0,8,1140,3066,2459.12,0.561,5.84,17.95,11.11,201.4,74.6,9.49,23.35,32.84,13.8,7.08,4.14,12.32,18.08,0,3.49,26.05,56.68,6.81,19,15.65,22.24,19.24,37.68,30.81,82.86,66.46,Chris Beard,2,1973,2016–17,218,Aquarius,Ox,46,2017
M1,Kansas,Jayhawks,fae4855b-1b64-4b40-a632-9ed345e1e952,39,7825,1165,2366,1392,774,7825,0.556,391,974,0.401,138,453,640,0.708,334,953,1287,649,457,1.42,254,160,598,4,3174,382,0,596,407,0,11,1380,3679,2647.6,0.599,9.79,15.28,10.44,200.6,81.4,8.56,24.44,33,16.6,6.51,4.1,11.72,15.33,0,3.54,29.87,60.67,10.03,24.97,11.62,16.41,19.85,35.69,35.38,94.33,67.89,Bill Self,12,1962,2003–04,1227,Capricorn,Tiger,57,2017
