team_id,season,team_name,team_mascot,seed,total_wins,total_losses,total_games_played,adj_win_perc,str_of_sched,rpi,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
8cd24de1-2be8-4b77-bcfa-47be0495a5f4,2017,Syracuse,Orange,M11,23,14,37,0.5828,0.5956,0.5924,7500,832,1995,1339,624,7500,0.466,208,656,0.317,106,594,808,0.735,370,866,1236,394,461,0.85,258,198,611,5,2466,173,1,489,422,0,15,958,2714,2350.52,0.525,4.68,13.22,11.41,202.7,66.6,10,23.41,33.41,10.6,6.97,5.35,12.46,16.51,0.03,2.86,22.49,53.92,5.62,17.73,16.05,21.84,16.86,36.19,25.89,73.35,63.53
d3c8a767-b6fc-45d4-a5f2-18406f2993f1,2017,Florida State,Seminoles,W9,23,12,35,0.6599,0.5508,0.5781,7100,995,2126,1345,722,7100,0.537,273,781,0.35,101,543,786,0.691,357,862,1219,523,457,1.14,241,186,653,2,2806,348,2,591,445,0,12,1262,3144,2471.84,0.568,9.94,16.89,12.71,202.9,80.2,10.2,24.63,34.83,14.9,6.89,5.31,13.06,18.66,0.06,2.89,28.43,60.74,7.8,22.31,15.51,22.46,20.63,38.43,36.06,89.83,70.62
dcf5c2e7-c227-4c20-af26-715d5f859412,2017,Clemson,Tigers,M5,25,10,35,0.7203,0.5867,0.6201,7050,899,1971,1185,611,7050,0.516,288,786,0.366,117,498,660,0.755,271,896,1167,463,414,1.12,198,169,564,2,2584,205,1,493,337,0,7,1010,2933,2261.4,0.571,5.86,14.09,9.63,201.4,73.8,7.74,25.6,33.34,13.2,5.66,4.83,11.83,16.11,0.03,3.34,25.69,56.31,8.23,22.46,14.23,18.86,17.46,33.86,28.86,83.8,64.61
e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,2017,North Carolina,Tar Heels,W2,26,11,37,0.7018,0.5978,0.6238,7425,1105,2417,1568,800,7425,0.51,305,849,0.359,176,503,677,0.743,441,1003,1444,674,444,1.52,213,151,587,0,3018,313,3,470,560,0,2,1314,3570,2714.88,0.556,8.46,12.7,15.14,200.7,81.6,11.92,27.11,39.03,18.2,5.76,4.08,12,15.86,0.08,4.76,29.86,65.32,8.24,22.95,13.59,18.3,21.62,42.38,35.51,96.49,73.38
faeb1160-5d15-4f26-99fc-c441cf21fc7f,2017,Duke,Blue Devils,M2,29,8,37,0.7987,0.5921,0.6438,7450,1125,2288,1457,816,7450,0.56,309,831,0.372,96,562,791,0.71,440,982,1422,648,459,1.41,275,185,575,4,3121,359,4,596,579,0,14,1478,3800,2636.04,0.592,9.7,16.11,15.65,201.4,84.4,11.89,26.54,38.43,17.5,7.43,5,12.41,15.54,0.11,2.59,30.41,61.84,8.35,22.46,15.19,21.38,22.05,39.38,39.95,102.7,71.24
a2b8223d-40b3-4076-b5df-55655c2f8591,2017,Lipscomb,Bisons,W15,20,10,33,0.7143,0.4946,0.5495,6700,924,2040,1227,657,6700,0.535,267,813,0.328,39,593,826,0.718,304,887,1191,517,493,1.05,216,102,658,6,2708,248,1,577,353,0,2,1176,2892,2403.44,0.563,7.52,17.48,10.7,203,82.1,9.21,26.88,36.09,15.7,6.55,3.09,14.94,19.94,0.03,1.18,28,61.82,8.09,24.64,17.97,25.03,19.91,37.18,35.64,87.64,72.83
98d2123a-c7b9-4b5f-8a81-43f76d8537dc,2017,Bucknell,Bison,M14,25,10,35,0.7647,0.4972,0.5641,7100,965,2050,1246,685,7100,0.55,280,804,0.348,32,627,872,0.719,282,916,1198,505,437,1.16,194,152,655,4,2837,173,0,519,372,0,3,1228,3119,2433.68,0.583,4.94,14.83,10.63,202.9,81.1,8.06,26.17,34.23,14.4,5.54,4.34,12.49,18.71,0,0.91,27.57,58.57,8,22.97,17.91,24.91,19.57,35.6,35.09,89.11,69.53
f2cf9ba2-ac8c-4d92-8e7a-48dd88e8f40b,2017,Radford,Highlanders,E16,21,13,36,0.6733,0.4905,0.5362,7325,850,2000,1207,573,7325,0.475,277,793,0.349,38,445,614,0.725,361,775,1136,442,442,1,226,105,596,5,2422,200,0,530,399,0,6,942,2570,2270.16,0.533,5.56,14.72,11.08,203.5,67.3,10.03,21.53,31.56,12.3,6.28,2.92,12.28,16.56,0,1.06,23.61,55.56,7.69,22.03,12.36,17.06,15.92,33.53,26.17,71.39,63.06
9c396fa7-c165-4599-8542-158bd0d9a199,2017,Wright State,Raiders,S14,23,10,35,0.7279,0.502,0.5584,7050,873,2019,1316,636,7050,0.483,237,703,0.337,16,517,723,0.715,306,873,1179,460,459,1,231,77,558,2,2500,145,0,543,372,0,2,1072,2636,2337.12,0.535,4.14,15.51,10.63,201.4,71.4,8.74,24.94,33.69,13.1,6.6,2.2,13.11,15.94,0,0.46,24.94,57.69,6.77,20.09,14.77,20.66,18.17,37.6,30.63,75.31,66.77
62a73b4a-e281-4483-a1f8-f1160a18e456,2017,Nevada,Wolf Pack,S7,29,8,37,0.7943,0.5641,0.6216,7500,1049,2238,1334,695,7500,0.521,354,904,0.392,95,603,812,0.743,305,910,1215,598,357,1.68,230,150,633,33,3055,328,1,541,401,0,16,1114,3493,2595.28,0.589,8.86,14.62,10.84,202.7,82.6,8.24,24.59,32.84,16.2,6.22,4.05,9.65,17.11,0.03,2.57,28.35,60.49,9.57,24.43,16.3,21.95,18.78,36.05,30.11,94.41,70.14
